date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:45	345/345	---MCZ	200	added ('OK')	text/plain	date:Thu,%2015%20Oct%202020%2016:52:46%20GMT	https://ktlchamber.wordpress.com/robots.txt		(from )
00:52:45	86428/86428	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:46%20GMT	https://ktlchamber.wordpress.com/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/index.html	(from )
00:52:47	12405/12405	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573b08bd-30cd%22	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/My%20Web%20Sites/discordillidan/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://ktlchamber.wordpress.com/)
00:52:47	17876/17876	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2015%20Oct%202020%2016:38:25%20GMT	https://ktlchamber.wordpress.com/feed/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/feed/index.html	(from https://ktlchamber.wordpress.com/)
00:52:47	12988/12988	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22622bf4d4e4a9134148406355a72477b2%22	https://ktlchamber.wordpress.com/comments/feed/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/comments/feed/index.html	(from https://ktlchamber.wordpress.com/)
00:52:48	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%22575f1ca1-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	C:/My%20Web%20Sites/discordillidan/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://ktlchamber.wordpress.com/)
00:52:48	12042/12042	---MCZ	200	added ('OK')	text/css	etag:W/%225f88539e-376b%22	https://s2.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?m=1602769553h&cssminify=yes	C:/My%20Web%20Sites/discordillidan/s2.wp.com/wp-content/mu-plugins/actionbar/actionbar840a.css	(from https://ktlchamber.wordpress.com/)
00:52:48	323/323	---MCZ	200	added ('OK')	text/css	etag:W/%225646222e-1d7%22	https://s0.wp.com/wp-content/themes/h4/global.css?m=1420737423h&cssminify=yes	C:/My%20Web%20Sites/discordillidan/s0.wp.com/wp-content/themes/h4/global21a2.css	(from https://ktlchamber.wordpress.com/)
00:52:49	19402/19402	---MCZ	200	added ('OK')	text/css	etag:W/%225b33f7b7-5e1f%22	https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1530132353h&cssminify=yes	C:/My%20Web%20Sites/discordillidan/s0.wp.com/wp-content/mu-plugins/highlander-comments/style6f5b.css	(from https://ktlchamber.wordpress.com/)
00:52:49	875/875	---MCZ	200	added ('OK')	text/xml	date:Thu,%2015%20Oct%202020%2016:52:50%20GMT	https://ktlchamber.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/xmlrpc0db0.php	(from https://ktlchamber.wordpress.com/)
00:52:49	134928/134928	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce2a2b4-20f10%22	https://s2.wp.com/_static/??/wp-includes/js/jquery/jquery.js,/wp-content/js/postmessage.js,/wp-content/js/mobile-useragent-info.js?m=1558356653j	C:/My%20Web%20Sites/discordillidan/s2.wp.com/_static/index1b73.html	(from https://ktlchamber.wordpress.com/)
00:52:51	1474/1474	---MCZ	200	added ('OK')	application/xml	date:Thu,%2015%20Oct%202020%2016:52:51%20GMT	https://ktlchamber.wordpress.com/osd.xml	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/osd.xml	(from https://ktlchamber.wordpress.com/)
00:52:51	804/804	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Sep%202017%2013:08:39%20GMT	https://ktlchamber.files.wordpress.com/2017/09/cropped-untitled.jpg?w=32	C:/My%20Web%20Sites/discordillidan/ktlchamber.files.wordpress.com/2017/09/cropped-untitled76ca.jpg	(from https://ktlchamber.wordpress.com/)
00:52:51	7161/7161	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Sep%202017%2013:08:39%20GMT	https://ktlchamber.files.wordpress.com/2017/09/cropped-untitled.jpg?w=192	C:/My%20Web%20Sites/discordillidan/ktlchamber.files.wordpress.com/2017/09/cropped-untitled9939.jpg	(from https://ktlchamber.wordpress.com/)
00:52:51	6807/6807	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Sep%202017%2013:08:39%20GMT	https://ktlchamber.files.wordpress.com/2017/09/cropped-untitled.jpg?w=180	C:/My%20Web%20Sites/discordillidan/ktlchamber.files.wordpress.com/2017/09/cropped-untitledad83.jpg	(from https://ktlchamber.wordpress.com/)
00:52:53	120321/120321	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202018%2014:27:51%20GMT	https://ktlchamber.files.wordpress.com/2018/01/gom.png?w=200	C:/My%20Web%20Sites/discordillidan/ktlchamber.files.wordpress.com/2018/01/gomebf4.png	(from https://ktlchamber.wordpress.com/)
00:52:53	66830/66830	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:53%20GMT	https://ktlchamber.wordpress.com/novels/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/novels/index.html	(from https://ktlchamber.wordpress.com/)
00:52:53	75483/75483	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:54%20GMT	https://ktlchamber.wordpress.com/god-of-music/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/god-of-music/index.html	(from https://ktlchamber.wordpress.com/)
00:52:53	53634/53634	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:53%20GMT	https://ktlchamber.wordpress.com/arena/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/arena/index.html	(from https://ktlchamber.wordpress.com/)
00:52:54	57252/57252	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:55%20GMT	https://ktlchamber.wordpress.com/one-man-army/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/one-man-army/index.html	(from https://ktlchamber.wordpress.com/)
00:52:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2016:52:55%20GMT	https://ktlchamber.wordpress.com/god-of-music/chapter-234	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/god-of-music/chapter-234	(from https://ktlchamber.wordpress.com/)
00:52:54	55239/55239	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:55%20GMT	https://ktlchamber.wordpress.com/i-studied-mainly-textbooks/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/i-studied-mainly-textbooks/index.html	(from https://ktlchamber.wordpress.com/)
00:52:54	59990/59990	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:55%20GMT	https://ktlchamber.wordpress.com/possessing-nothing/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/possessing-nothing/index.html	(from https://ktlchamber.wordpress.com/)
00:52:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2016:52:56%20GMT	https://ktlchamber.wordpress.com/god-of-music/chapter-233	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/god-of-music/chapter-233	(from https://ktlchamber.wordpress.com/)
00:52:55	62606/62606	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:56%20GMT	https://ktlchamber.wordpress.com/staff/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/staff/index.html	(from https://ktlchamber.wordpress.com/)
00:52:55	53404/53404	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:56%20GMT	https://ktlchamber.wordpress.com/donate/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/donate/index.html	(from https://ktlchamber.wordpress.com/)
00:52:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2016:52:56%20GMT	https://ktlchamber.wordpress.com/chapter-237/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/chapter-237/index.html	(from https://ktlchamber.wordpress.com/)
00:52:55	68939/68939	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:52:56%20GMT	https://ktlchamber.wordpress.com/2020/10/06/god-of-music-chapter-237/	C:/My%20Web%20Sites/discordillidan/ktlchamber.wordpress.com/2020/10/06/god-of-music-chapter-237/index.html	(from https://ktlchamber.wordpress.com/)
00:52:56	34979/34979	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Mar%202020%2007:18:39%20GMT	https://ktlchamber.files.wordpress.com/2020/03/cqpw3cmqivzjvkkv.jpg?w=200	C:/My%20Web%20Sites/discordillidan/ktlchamber.files.wordpress.com/2020/03/cqpw3cmqivzjvkkvebf4.jpg	(from https://ktlchamber.wordpress.com/)
